순번,기술명,특허 출원번호
1,3D 프린팅 기반의 유전체 공진기와 구조체 및 그 제조 방법,10-2017-0166666
2,AGTR-1에 특이적으로 결합 유방암 치료용 핵산압타머,10-2018-0089025
3,"CAR 유전자가 도입된 NK 세포, 면역세포의 제조방법 용도",10-2020-0037719
4,"CRISP/Cas 시스템에 사용하기 위한 융합 단백질, 이의 복합체",10-2017-0131637
5,NK면역 치료제,10-2016-7036895
6,감태 추출물을 포함하는 초미세먼지로 인한 질환 예방 및 치료용 조성물,10-2019-0112283
7,견방사의 고온밀폐식 정련방법 및 이에 의해 제조된 견방사,10-2017-0055630
8,고에너지 파장 가변 근적외선 레이저 제작 기술,10-2016-0105100
9,고에너지밀도 전고체 이차전지 기술,10-2018-0135867
10,고주파 및 저주파 저감 클램프 ,10-2020-0026449
11,고출력 극초단 펄스 레이저 장치,10-2014-0008151
12,"나한과 잔사 추출물을 유효성분으로 함유하는 호흡기 질환의 예방, 개선 또는 치료용 조성물",10-2019-0093145
13,난소암 진단을 위한 돌연변이 유전자 및 이를 이용한 진단 방법,10-2019-0085916
14,높은 신장율과 우수한 소수성을 갖는 섬유막 제조기술,10-2013-0006550
15,뇌 오가노이드 제조 방법,10-2019-0117601
16,뇌암세포 표적용 펩타이드로 표면 개질된 약물 전달용 나노입자 제조법,10-2020-0002725
17,"다양한 식물에 저항성을 유도하는 바실러스 서브틸리스 JCK-1398 균주, 이를 이용한 소나무재선충병 방제용 조성물 및 방제방법",10-2020-0017232
18,다층 구조 방탄재 및 그 제조방법,10-2017-0127430
19,"담배연기 추출물 제조를 위한 담배연기 발생 및 채취 장치, 시스템 및 이에 대한 운영방법",10-2020-0069695
20,당근잎을 유효성분으로 포함하는 뼈 성장 촉진용 조성물,10-2019-0066904
21,레스베라트롤 유도체를 유효성분으로 포함하는 근육소실증 예방 또는 치료용 조성물,10-2018-0012888
22,말미잘 유래 재조합 실크 단백질 제조기술,10-2012-0002161
23,"메탄, 메탄올에서 2,3-부탄디올(2,3-BDO)을 생산하는 형질전환체 제조법",10-2020-0121746
24,면역 증진 및 항바이러스 활성을 가지는 클로스트리디움 부티리쿰 균주 및이의 용도,10-2015-0042407
25,무-운반체 다중 crispr/cas 9 유전자 편집 복합체,10-2019-0055160
26,미강 추출물을 유효성분으로 포함하는 우울증 또는 인지장애의 예방 또는 치료용 조성물,10-2014-0062111
27,미산성 전해수를 주성분으로 하는 친환경 살균수와 이를 이용하여 살균조건을 확립한 신선 농산물 살균방법,10-2016-0181245
28,바이러스 검출용 프라이머 세트 및 바이러스병 진단방법,10-2018-0130879
29,박막을 이용하여 분리 가능한 구조를 갖는 마이크로 플루이딕 디바이스,10-2018-0142488
30,배전반,10-2017-0139036
31,백강잠 추출물을 포함하는 수지상 세포 분화용 조성물 및 이를 이용한 수지상 세포의 분화 방법,10-2020-0005157
32,"벤조[4, 5]이미다조[2, 1-b]싸이아졸카복실산계열 화합물의 항비만 항우울치료제 후보물질 개발",10-2016-0039530
33,변이 미생물을 이용한 4-하이드로시페닐젖산의 제조방법,10-2015-0067345
34,삼차원 공배양을 통한 신생혈관능이 증가된 이식용 지방줄기세포 시트,10-2018-0141454
35,삼차원 자기조립 핵산 나노입자 급성 신장 손상 치료 조성물,10-2019-0138846
36,셀라지넬라 로씨 추출물 또는 이의 분획물을 포함하는 피부 노화 방지 및 피부 주름 개선용 화장료 조성물,10-2020-0105022
37,소화용 오실레이팅 모니터,10-2019-0015762
38,수용성 진주분말을 유효성분으로 포함하는 면역증강용 조성물,10-2017-0041523
39,"수용성 진주분말을 유효성분으로 포함하는 미백, 항염증 및 피부노화 억제용 조성물",10-2015-0163877
40,스캐닝 라이다 장치 및 그 방법,10-2017-0153245
41,"신규 유산균 락토바실러스 가세리 NK109를 포함하는 항염증제, 신경정신질환 치료제",10-2019-0124978
42,실리콘 드리프트 디텍터 설계 및 공정기술 ,10-2020-0126342
43,실린더 튜브 내면 자동 결함 검사장치 및 방법,10-2013-0083812
44,알루미늄 합금소재의 제조방법 및 이 제조방법에 의해 제조된 알루미늄 합금소재,10-2017-0006252
45,알츠하이머 병기 예측용 조성물 및 상기 조성물을 이용한 예측 키트,10-2019-0178233
46,알콕시실릴기를 갖는 에폭시 제조 기술,10-2017-014752
47,애완동물의 치석 및 치태를 예방하기 위한 간식 및 그 제조방법,10-2017-0081626
48,열가소성 복합재의 유도가열 용접용 발열체 및 그 제조방법 ,10-2019-0178804
49,이온성 액체와 색변화 염료 물질을 포함하는 가스 지시용 나노섬유 얀 기반 색변화 가스센서 및 그 제조 방법,10-2018-0119707
50,이종 프리 펄스를 적용한 웰드본드 용접방법,10-2020-0185828
51,이차전지용 고체 전해질 복합 부직포 분리막 기술,10-2012-0083379
52,인쇄전자 기술을 활용한 전자파 차폐 및 투명 전자파 차폐 기술,10-2016-0161951
53,자두 씨 추출물을 유효성분으로 함유하는 갈변 방지용 조성물 외 1건,10-2020-0004266
54,자성분리 기술을 이용한 방사성 오염토양 정화 방법,10-2018-0111833
55,잣나무 잎 추출물을 유효성분으로 포함하는 피로 개선용 조성물,10-2017-0168909
56,재생바이오 기반 항균성·난연성 · 생분해 특성의 초극세 섬유 및 전도성 코팅액,10-2015-0149929
57,재조합 실크 단백질 생산능이 향상된 재조합 미생물 및 이를 이용한 고분자량 재조합 실크 단백질의 생산방법,10-2020-0169583
58,전고체전지용 금속-탄소 구조체 기술,10-2018-0133920
59,전기방사 섬유 수집 장치 및 이를 포함하는 전기방사 장치,10-2018-0093804
60,정전기적 결합을 통한 약물-고분자 복합체 및 이의 제조방법,10-2018-0120543
61,종양 특이적 약물복합체와 항PD-L1 항체 암 예방 또는 병용 투여 치료조성물,10-2019-0164258
62,종양세포 특이적 자기조립 나노약물 복합체,10-2019-0145221
63,지방줄기세포 시트를 함유하는 심장조직 모사 심장이식용 시트,10-2018-0167971
64,직접 리프로그래밍을 통한 유도 도파민성 신경세포 전구체의 제조방법,10-2020-0121802
65,질소가 도핑된 탄소에 담지된 백금촉매의 제조방법 및 이의 이용하여 제조된 질소가 도핑된 탄소에 담지된 백금촉매,10-2016-0011306
66,천연성분을 포함하는 미용용 접착제 조성물,10-2016-0004681
67,첨단 표준물질 제작 및 인증기술,10-2019-0137233
68,초음파 융착 장치(용융점 이상으로 가열시켜 녹인 후 압력을 가하여 기밀을 유지하면서 접합시키는 초음파 융착 장치 기술),10-2007-0009180
